City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
265,Kawambwa,ZM,2021-05-12 04:56:22,-9.7915,29.0791,53.83,75,0,5.77
266,Belmonte,BR,2021-05-12 04:52:12,-15.8631,-38.8828,68.0,83,40,4.61
267,Igarka,RU,2021-05-12 04:56:23,67.4667,86.5833,33.24,99,100,1.92
268,Tutoia,BR,2021-05-12 04:56:24,-2.7619,-42.2744,74.32,91,63,4.09
269,Khasan,RU,2021-05-12 04:56:24,42.4308,130.6434,52.14,78,97,8.97
270,Komsomolskiy,UZ,2021-05-12 04:56:24,40.4272,71.7189,73.4,38,0,9.22
271,Atambua,ID,2021-05-12 04:56:25,-9.1061,124.8925,83.32,55,16,0.38
272,Carnarvon,AU,2021-05-12 04:56:25,-24.8667,113.6333,84.2,34,0,9.22
273,Pathein,MM,2021-05-12 04:56:26,16.7833,94.7333,95.9,45,90,10.16
274,Maceio,BR,2021-05-12 04:56:27,-9.6658,-35.7353,69.8,100,90,3.44
275,Katobu,ID,2021-05-12 04:56:27,-4.9408,122.5276,87.69,57,39,6.93
276,Boende,CD,2021-05-12 04:56:28,-0.2167,20.8667,73.31,85,100,1.54
277,Liverpool,GB,2021-05-12 04:56:02,53.4106,-2.9779,46.4,93,20,5.75
278,Mundo Nuevo,MX,2021-05-12 04:56:28,18.7,-95.5,82.0,73,43,2.44
279,Road Town,VG,2021-05-12 04:56:29,18.4167,-64.6167,79.0,82,91,3.0
280,Peniche,PT,2021-05-12 04:53:24,39.3558,-9.3811,60.01,87,74,7.0
281,Assare,BR,2021-05-12 04:54:08,-6.8744,-39.875,71.51,71,85,5.84
282,Longford,IE,2021-05-12 04:56:29,53.7333,-7.8,36.14,96,8,4.27
283,Mecca,SA,2021-05-12 04:56:30,21.4267,39.8261,88.41,32,0,2.06
284,Vilhena,BR,2021-05-12 04:56:31,-12.7406,-60.1458,66.13,70,14,3.29
